date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:41	115374/115374	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:10%20GMT	https://makesaz.com/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/index.html	(from )
23:29:42	171/171	---MC-	200	added ('OK')	text/plain	date:Sat,%2015%20Jan%202022%2022:29:42%20GMT	https://makesaz.com/robots.txt		(from )
23:29:45	780/780	---M--	200	added ('OK')	text/xml	date:Sat,%2015%20Jan%202022%2022:29:45%20GMT	https://makesaz.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/xmlrpc0db0.php	(from https://makesaz.com/)
23:29:45	362482/362482	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2022:53:56%20GMT	https://makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/cache/min/1/a79da522d4a01d45b6a742f6e6199d47.css	(from https://makesaz.com/)
23:29:45	840/840	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2015%20Jan%202022%2022:29:45%20GMT	https://makesaz.com/comments/feed/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/comments/feed/index.html	(from https://makesaz.com/)
23:29:46	177239/177239	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2003%20Jun%202021%2023:51:36%20GMT	https://makesaz.com/feed/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/feed/index.html	(from https://makesaz.com/)
23:29:46	1045/1045	---M--	200	added ('OK')	application/xml	date:Sat,%2015%20Jan%202022%2022:29:46%20GMT	https://makesaz.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-includes/wlwmanifest.xml	(from https://makesaz.com/)
23:29:48	54675/54675	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:09%20GMT	https://makesaz.com/category/dogs/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/category/dogs/index.html	(from https://makesaz.com/)
23:29:48	59133/59133	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:40%20GMT	https://makesaz.com/privacy-policy/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/privacy-policy/index.html	(from https://makesaz.com/)
23:29:48	194834/194834	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Jan%202022%2022:29:45%20GMT	https://makesaz.com/wp-json/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-json/index.html	(from https://makesaz.com/)
23:29:49	82878/82878	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:19%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/index.html	(from https://makesaz.com/)
23:29:49	81695/81695	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2022:29:20%20GMT	https://makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/2/	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/10-best-dogs-for-seniors-that-are-low-maintenance-and-full-of-love/2/index.html	(from https://makesaz.com/)
23:29:50	418634/418634	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:28:55%20GMT	https://makesaz.com/wp-content/uploads/2021/06/dogs-seniors.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/06/dogs-seniors.jpg	(from https://makesaz.com/)
23:29:50	121676/121676	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2001:28:15%20GMT	https://makesaz.com/wp-content/uploads/2021/05/pexels-glenn-2664417-1024x1021.jpg	C:/My%20Web%20Sites/https___makesaz.com_/makesaz.com/wp-content/uploads/2021/05/pexels-glenn-2664417-1024x1021.jpg	(from https://makesaz.com/)
